question_id,setting,model_name,provider,retrieval_method,top_source_ids,answer,cited_source,answer_correct,citation_correct,hallucination,refusal_correct,notes
HQ0001,strict_citation_rag,gpt-4.1-mini,openai,gold,S000004 S000017,"Yes, Scott Derrickson and Ed Wood were both American [S000004], [S000017].",S000004 S000017,yes,yes,no,na,Correct answer and full citation.
HQ0002,strict_citation_rag,gpt-4.1-mini,openai,gold,S000041 S000042 S000054,"The woman who portrayed Corliss Archer in the film Kiss and Tell, Shirley Temple, held the government positions of United States ambassador to Ghana, United States ambassador to Czechoslovakia, and also served as Chief of Protocol of the United States [S000042][S000054].",S000042 S000054,yes,yes,no,na,Correct answer; citations support Shirley Temple and Chief of Protocol.
HQ0003,strict_citation_rag,gpt-4.1-mini,openai,gold,S000084 S000085 S000086 S000114 S000115,"The science fantasy young adult series is ""Animorphs,"" which is told in first person with six main characters taking turns narrating the books through their own perspectives. It has a set of companion books, such as ""The Hork-Bajir Chronicles,"" narrating the stories of enslaved worlds and alien species, including how the Yeerks enslaved the Hork-Bajir [S000084], [S000085], [S000086], [S000114], [S000115].",S000084 S000085 S000086 S000114 S000115,yes,yes,no,na,Correct answer with full supporting citations.
HQ0004,strict_citation_rag,gpt-4.1-mini,openai,gold,S000140 S000141,"No, the Laleli Mosque is located in Laleli, Fatih, Istanbul, while the Esma Sultan Mansion is located in the Ortaköy neighborhood of Istanbul. Therefore, they are not located in the same neighborhood [S000140][S000141].",S000140 S000141,yes,yes,no,na,Correct yes/no answer with both location citations.
HQ0005,strict_citation_rag,gpt-4.1-mini,openai,gold,S000156 S000196,"The director of the romantic comedy ""Big Stone Gap,"" Adriana Trigiani, is based in Greenwich Village, New York City [S000156].",S000156,yes,partial,no,na,Correct answer; citation supports Trigiani location but omits Big Stone Gap director evidence.
HQ0006,strict_citation_rag,gpt-4.1-mini,openai,gold,S000210 S000217,2014 S/S is the debut album of a South Korean boy group that was formed by YG Entertainment [S000217].,S000217,yes,partial,no,na,Correct answer; citation supports YG Entertainment but omits album/group setup evidence.
HQ0007,strict_citation_rag,gpt-4.1-mini,openai,gold,S000264 S000278,"Eenasul Fateh was known by his stage name Aladin and helped organizations improve their performance as a consultant [S000264], [S000278].",S000264 S000278,yes,yes,no,na,Correct answer with identity and consultant support.
HQ0008,strict_citation_rag,gpt-4.1-mini,openai,gold,S000350 S000360,"The arena where the Lewiston Maineiacs played their home games can seat 3,677 people. [S000350], [S000360]",S000350 S000360,yes,yes,no,na,"Correct answer; 3,677 seating capacity is supported."
HQ0009,strict_citation_rag,gpt-4.1-mini,openai,gold,S000371 S000373 S000381,"Terry Richardson is older than Annie Morton. Terry Richardson was born on August 14, 1965, while Annie Morton was born on October 8, 1970 [S000371, S000381].",S000371 S000381,yes,yes,no,na,Correct comparison using birth dates.
HQ0010,strict_citation_rag,gpt-4.1-mini,openai,gold,S000430 S000440,"Yes, Local H and For Against are both from the United States. Local H was formed in Zion, Illinois, and For Against is from Lincoln, Nebraska [S000430], [S000440].",S000430 S000440,yes,yes,no,na,Correct answer with both U.S. locations supported.
HQ0011,strict_citation_rag,gpt-4.1-mini,openai,gold,S000481 S000498 S000499,"The fight song of the University of Kansas, whose main campus is in Lawrence, Kansas, and whose branch campuses are in the Kansas City metropolitan area, is ""Kansas Song (We’re From Kansas)"" [S000481], [S000498], [S000499].",S000481 S000498 S000499,yes,yes,no,na,Correct fight song answer with university and song evidence.
HQ0012,strict_citation_rag,gpt-4.1-mini,openai,gold,S000520 S000521 S000539,"David Weissman is the screenwriter with credits for ""Evolution"" who co-wrote the film ""The Family Man"" starring Nicolas Cage and Téa Leoni [S000521], [S000539].",S000521 S000539,yes,yes,no,na,Correct screenwriter answer with relevant film evidence.
HQ0013,strict_citation_rag,gpt-4.1-mini,openai,gold,S000580 S000581 S000582,"Guns N' Roses performed a promo for the movie starring Arnold Schwarzenegger as a former New York Police detective in 1999 [S000581], [S000582].",S000581 S000582,yes,yes,no,na,Correct year and citations support the movie/promo link.
HQ0014,strict_citation_rag,gpt-4.1-mini,openai,gold,S000601 S000604,The document does not provide enough information.,,no,na,no,na,Incorrect refusal despite gold evidence supporting the expected no answer.
HQ0015,strict_citation_rag,gpt-4.1-mini,openai,gold,S000665 S000666 S000675,"The football manager who recruited David Beckham, Alex Ferguson, managed Manchester United from 1986 to 2013 [S000666][S000675].",S000666 S000675,yes,yes,no,na,Correct timeframe with Beckham/Ferguson and management-year evidence.
HQ0016,strict_citation_rag,gpt-4.1-mini,openai,gold,S000688 S000740,The document does not provide enough information.,,no,na,no,na,Incorrect refusal despite gold evidence containing county population.
HQ0017,strict_citation_rag,gpt-4.1-mini,openai,gold,S000757 S000758 S000759,"The Vermont Catamounts men's soccer team currently competes in the America East Conference, which was formerly known as the North Atlantic Conference from 1988 to 1996 [S000757], [S000759].",S000757 S000759,yes,yes,no,na,Correct conference former-name answer.
HQ0018,strict_citation_rag,gpt-4.1-mini,openai,gold,S000797 S000801,"Yes, both Giuseppe Verdi and Ambroise Thomas are opera composers. Giuseppe Verdi was an Italian opera composer [S000797], and Ambroise Thomas was a French composer best known for his operas ""Mignon"" and ""Hamlet"" [S000801].",S000797 S000801,yes,yes,no,na,Correct answer with both composer citations.
HQ0019,strict_citation_rag,gpt-4.1-mini,openai,gold,S000828 S000858,"Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the Nixon administration. Richard Milhous Nixon was President of the United States from 1969 until 1974. Therefore, Roger O. Egeberg served during the years 1969 to 1974. [S000828], [S000858]",S000828 S000858,yes,yes,no,na,Correct presidential years with supporting citations.
HQ0020,strict_citation_rag,gpt-4.1-mini,openai,gold,S000868 S000882,"Robert Erskine Childers was from England, as he was a British writer [S000882].",S000882,yes,partial,no,na,Correct answer; citation supports Childers but omits contrast with Henry Roth.
HQ0021,strict_citation_rag,gpt-4.1-mini,openai,gold,S000915 S000931 S000932,"Pedro Rodríguez is the other Mexican Formula One driver who has held the podium besides Sergio Pérez, as he is noted as the most successful Mexican driver and the only one to have won a grand prix, while Sergio Pérez is the only other Mexican to finish on the podium [S000931][S000932].",S000931 S000932,yes,partial,no,na,Correct answer; citations support podium clue but omit some Force India/Sergio setup evidence.
HQ0022,strict_citation_rag,gpt-4.1-mini,openai,gold,S000964 S000979,"The singer of ""A Rather Blustery Day"" also voiced Dr. Robotnik from ""Sonic the Hedgehog"" [S000964][S000979].",S000964 S000979,yes,yes,no,na,Correct expected Sonic-related answer with singer and voice-role citations.
HQ0023,strict_citation_rag,gpt-4.1-mini,openai,gold,S000993 S000994 S001009 S001010,"The program Apple Remote was originally designed to interact with, Front Row, can also be controlled by the keyboard function keys [S001010].",S001010,yes,partial,no,na,Correct answer; citation supports keyboard function keys but omits Apple Remote/Front Row setup.
