question_id,setting,model_name,provider,retrieval_method,top_source_ids,answer,cited_source,answer_correct,citation_correct,hallucination,refusal_correct,notes
HQ0001,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000004 S000005 S000006 S000017 S000026 S000002 S000001 S000014,"Yes, Scott Derrickson and Ed Wood were of the same nationality. Scott Derrickson is an American director, screenwriter and producer [S000004], and Edward Davis Wood Jr. was an American filmmaker, actor, writer, producer, and director [S000017].",S000004 S000017,yes,yes,no,na,
HQ0002,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000054 S000051 S000053 S000045 S000052 S000050 S000049 S000039,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0003,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000115 S000114 S000086 S000084 S000116 S000077 S000118 S000087,Animorphs is a science fantasy series of young adult books,,yes,no,no,na,answer names expected series but has no citation
HQ0004,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000141 S000140 S000134 S000139 S000142 S000137 S000145 S000132,"No, the Laleli Mosque and Esma Sultan Mansion are not located in the same neighborhood. The Laleli Mosque",,yes,no,no,na,answer correct but truncated/no citation
HQ0005,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000196 S000197 S000198 S000193 S000194 S000148 S000195 S000192,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0006,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000210 S000211 S000238 S000212 S000213 S000217 S000235 S000232,2014 S/S is the debut album,,no,na,no,na,does not answer YG Entertainment
HQ0007,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000264 S000561 S000558 S000559 S000560 S000263 S000268 S000279,Eenasul Fateh was known by his stage,,yes,no,no,na,answer names expected person but has no citation
HQ0008,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000360 S000350 S000359 S000364 S000362 S000298 S000369 S000358,The Androscoggin Bank Colisée can seat 3,,no,no,no,na,"truncated answer does not provide 3,677 seated"
HQ0009,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000381 S000371 S000373 S000372 S000382 S000374 S000383 S000386,"Terry Richardson is older than Annie Morton [S000381, S000371]. Terry Richardson was born on August 14, 1965 [S000381], and Annie Morton was born on October 8, 1970 [S000371].",S000371 S000381,yes,yes,no,na,
HQ0010,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000440 S000430 S000431 S000451 S000429 S000441 S000443 S000622,"Yes, Local H is an American rock band from Zion, Illinois [S000430], and For Against is a United States post-punk/dream pop band from Lincoln, Nebraska [S000440].",S000430 S000440,yes,yes,no,na,
HQ0011,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000481 S000498 S000499 S000497 S000500 S000463 S000501 S000460,Kansas Song (We’re From Kansas) is the,,yes,no,no,na,answer names expected song but has no citation
HQ0012,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000540 S000521 S000523 S000528 S000539 S000524 S000515 S000535,David Weissman [S00053,S00053,yes,no,no,na,answer names expected writer but citation is malformed
HQ0013,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000546 S000549 S000547 S000551 S000560 S000582 S000564 S000559,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0014,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000604 S000605 S000601 S000599 S000602 S000598 S000600 S000603,"Yes, Random House Tower is a mixed-",,no,no,yes,na,wrong unsupported yes answer
HQ0015,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000666 S000660 S000665 S000668 S000674 S000672 S000670 S000669,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0016,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000688 S000689 S000690 S000695 S000694 S000705 S000686 S000724,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0017,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000759 S000758 S000761 S000763 S000760 S000778 S000755 S000752,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0018,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000801 S000797 S000806 S000791 S000803 S000812 S000790 S000809,"Yes, Giuseppe Verdi was an Italian opera composer [S000797]. Ambroise Thomas was a French composer, best known for his operas ""Mignon"" and ""Hamlet""",S000797,yes,partial,no,na,"answer correct, citation supports only one composer"
HQ0019,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000858 S000856 S000834 S000843 S000841 S000857 S000835 S000833,Roger O. Egeberg was Assistant Secretary for Health and,,no,no,no,na,does not provide requested years
HQ0020,strict_citation_rag,gemini-2.5-flash,gemini,saved,S000882 S000868 S000884 S000890 S000881 S000891 S000897 S000892,Robert Erskine Childers was a British writer [S0,S0,yes,no,no,na,answer names expected writer but citation is malformed
