question_id,setting,model_name,retrieval_method,top_source_ids,answer,cited_source,answer_correct,citation_correct,hallucination,refusal_correct,notes
HQ0001,strict_citation_rag,gpt-4.1-mini,gold,S000004 S000017,"Yes, Scott Derrickson and Ed Wood were both American. Scott Derrickson is described as an American director, screenwriter, and producer [S000004], and Ed Wood is described as an American filmmaker, actor, writer, producer, and director [S000017].",S000004 S000017,yes,yes,no,na,Correct answer and citations support both nationality claims.
HQ0002,strict_citation_rag,gpt-4.1-mini,gold,S000041 S000042 S000054,"The woman who portrayed Corliss Archer in the film Kiss and Tell, Shirley Temple, held the government positions of United States ambassador to Ghana and to Czechoslovakia and also served as Chief of Protocol of the United States [S000042], [S000054].",S000042 S000054,partial,yes,no,na,Expected answer is Chief of Protocol. Model included the correct answer but added extra supported government positions.
HQ0003,strict_citation_rag,gpt-4.1-mini,gold,S000084 S000085 S000086 S000114 S000115,"The science fantasy young adult series told in first person, with companion books narrating the stories of enslaved worlds and alien species, is the ""Animorphs"" series. This is supported by the mention of ""The Hork-Bajir Chronicles,"" a companion book to the ""Animorphs"" series, which tells the story of how the Yeerks enslaved the Hork-Bajir. Additionally, the ""Animorphs"" series is described as a science fantasy series of young adult books written by K. A. Applegate, told in first person with six main characters taking turns narrating [S000084], [S000085], [S000086], [S000114], [S000115].",S000084 S000085 S000086 S000114 S000115,yes,yes,no,na,Correct answer and all cited supporting facts are relevant.
HQ0004,strict_citation_rag,gpt-4.1-mini,gold,S000140 S000141,"No, the Laleli Mosque is located in Laleli, Fatih, Istanbul, while the Esma Sultan Mansion is located in the Ortaköy neighborhood of Istanbul. They are not in the same neighborhood [S000140], [S000141].",S000140 S000141,yes,yes,no,na,Correct comparison and both citations support the answer.
HQ0005,strict_citation_rag,gpt-4.1-mini,gold,S000156 S000196,"The director of the romantic comedy ""Big Stone Gap,"" Adriana Trigiani, is based in Greenwich Village, New York City [S000156], [S000196].",S000156 S000196,yes,yes,no,na,Correct answer. S000196 identifies the director and S000156 supports the location.
HQ0006,strict_citation_rag,gpt-4.1-mini,gold,S000210 S000217,"The South Korean boy group WINNER, whose debut album is 2014 S/S, was formed by YG Entertainment [S000210], [S000217].",S000210 S000217,yes,yes,no,na,Correct answer. Citations support WINNER and YG Entertainment.
HQ0007,strict_citation_rag,gpt-4.1-mini,gold,S000264 S000278,"Eenasul Fateh was known by his stage name Aladin and helped organizations improve their performance as a consultant [S000264], [S000278].",S000264 S000278,yes,yes,no,na,Correct answer. Citations support stage name Aladin and consulting role.
HQ0008,strict_citation_rag,gpt-4.1-mini,gold,S000350 S000360,"The arena where the Lewiston Maineiacs played their home games, the Androscoggin Bank Colisée, can seat 3,677 people [S000350][S000360].",S000350 S000360,yes,yes,no,na,Correct answer. Citations support arena and seating capacity.
HQ0009,strict_citation_rag,gpt-4.1-mini,gold,S000371 S000373 S000381,"Terry Richardson is older than Annie Morton. Terry Richardson was born on August 14, 1965 [S000381], and Annie Morton was born on October 8, 1970 [S000371].",S000371 S000381,yes,yes,no,na,Correct answer. Citations support birth dates used for age comparison.
HQ0010,strict_citation_rag,gpt-4.1-mini,gold,S000430 S000440,"Yes, both Local H and For Against are from the United States. Local H was formed in Zion, Illinois, and For Against is from Lincoln, Nebraska, both of which are locations in the United States [S000430], [S000440].",S000430 S000440,yes,yes,no,na,Correct answer. Citations support both groups being from the United States.
HQ0011,strict_citation_rag,gpt-4.1-mini,gold,S000481 S000498 S000499,"The name of the fight song of the University of Kansas, whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area, is ""Kansas Song (We’re From Kansas)"" [S000481], [S000498], [S000499].",S000481 S000498 S000499,yes,yes,no,na,Correct answer. Citations support university context and fight song.
