question_id,setting,question,prompt
HQ0001,no_rag,Were Scott Derrickson and Ed Wood of the same nationality?,"Answer the question using your general knowledge.

Question:
Were Scott Derrickson and Ed Wood of the same nationality?

Answer:"
HQ0001,basic_rag,Were Scott Derrickson and Ed Wood of the same nationality?,"Answer the question using the provided source context.

Source context:
[S000004] (HQ0001; Scott Derrickson) Scott Derrickson (born July 16, 1966) is an American director, screenwriter and producer. [S000005] (HQ0001; Scott Derrickson)  He lives in Los Angeles, California. [S000006] (HQ0001; Scott Derrickson)  He is best known for directing horror films such as ""Sinister"", ""The Exorcism of Emily Rose"", and ""Deliver Us From Evil"", as well as the 2016 Marvel Cinematic Universe installment, ""Doctor Strange."" [S000017] (HQ0001; Ed Wood) Edward Davis Wood Jr. (October 10, 1924 – December 10, 1978) was an American filmmaker, actor, writer, producer, and director. [S000026] (HQ0001; Sinister (film)) Sinister is a 2012 supernatural horror film directed by Scott Derrickson and written by Derrickson and C. Robert Cargill. [S000002] (HQ0001; Ed Wood (film))  The film concerns the period in Wood's life when he made his best-known films as well as his relationship with actor Bela Lugosi, played by Martin Landau. [S000001] (HQ0001; Ed Wood (film)) Ed Wood is a 1994 American biographical period comedy-drama film directed and produced by Tim Burton, and starring Johnny Depp as cult filmmaker Ed Wood. [S000014] (HQ0001; Tyler Bates)  He has collaborated with directors like Zack Snyder, Rob Zombie, Neil Marshall, William Friedkin, Scott Derrickson, and James Gunn.

Question:
Were Scott Derrickson and Ed Wood of the same nationality?

Answer:"
HQ0001,strict_citation_rag,Were Scott Derrickson and Ed Wood of the same nationality?,"You are answering questions using only the provided source context.

Rules:
1. Use only information from the source context.
2. Cite the sentence ID that supports your answer, such as [S000001].
3. If the source does not contain the answer, say: ""The document does not provide enough information.""
4. Do not guess.
5. Do not use outside knowledge.

Source context:
[S000004] (HQ0001; Scott Derrickson) Scott Derrickson (born July 16, 1966) is an American director, screenwriter and producer. [S000005] (HQ0001; Scott Derrickson)  He lives in Los Angeles, California. [S000006] (HQ0001; Scott Derrickson)  He is best known for directing horror films such as ""Sinister"", ""The Exorcism of Emily Rose"", and ""Deliver Us From Evil"", as well as the 2016 Marvel Cinematic Universe installment, ""Doctor Strange."" [S000017] (HQ0001; Ed Wood) Edward Davis Wood Jr. (October 10, 1924 – December 10, 1978) was an American filmmaker, actor, writer, producer, and director. [S000026] (HQ0001; Sinister (film)) Sinister is a 2012 supernatural horror film directed by Scott Derrickson and written by Derrickson and C. Robert Cargill. [S000002] (HQ0001; Ed Wood (film))  The film concerns the period in Wood's life when he made his best-known films as well as his relationship with actor Bela Lugosi, played by Martin Landau. [S000001] (HQ0001; Ed Wood (film)) Ed Wood is a 1994 American biographical period comedy-drama film directed and produced by Tim Burton, and starring Johnny Depp as cult filmmaker Ed Wood. [S000014] (HQ0001; Tyler Bates)  He has collaborated with directors like Zack Snyder, Rob Zombie, Neil Marshall, William Friedkin, Scott Derrickson, and James Gunn.

Question:
Were Scott Derrickson and Ed Wood of the same nationality?

Answer:"
HQ0002,no_rag,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,"Answer the question using your general knowledge.

Question:
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?

Answer:"
HQ0002,basic_rag,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,"Answer the question using the provided source context.

Source context:
[S000054] (HQ0002; Kiss and Tell (1945 film)) Kiss and Tell is a 1945 American comedy film starring then 17-year-old Shirley Temple as Corliss Archer. [S000051] (HQ0002; A Kiss for Corliss)  It is a sequel to the 1945 film ""Kiss and Tell"". [S000053] (HQ0002; A Kiss for Corliss)  The film was released on November 25, 1949, by United Artists. [S000045] (HQ0002; Meet Corliss Archer (TV series)) Meet Corliss Archer is an American television sitcom that aired on CBS (July 13, 1951 - August 10, 1951) and in syndication via the Ziv Company from April to December 1954. [S000052] (HQ0002; A Kiss for Corliss)  ""A Kiss for Corliss"" was retitled ""Almost a Bride"" before release and this title appears in the title sequence. [S000050] (HQ0002; A Kiss for Corliss)  It stars Shirley Temple in her final starring role as well as her final film appearance. [S000049] (HQ0002; A Kiss for Corliss) A Kiss for Corliss is a 1949 American comedy film directed by Richard Wallace and written by Howard Dimsdale. [S000039] (HQ0002; Meet Corliss Archer)  From October 3, 1952 to June 26, 1953, it aired on ABC, finally returning to CBS.

Question:
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?

Answer:"
HQ0002,strict_citation_rag,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,"You are answering questions using only the provided source context.

Rules:
1. Use only information from the source context.
2. Cite the sentence ID that supports your answer, such as [S000001].
3. If the source does not contain the answer, say: ""The document does not provide enough information.""
4. Do not guess.
5. Do not use outside knowledge.

Source context:
[S000054] (HQ0002; Kiss and Tell (1945 film)) Kiss and Tell is a 1945 American comedy film starring then 17-year-old Shirley Temple as Corliss Archer. [S000051] (HQ0002; A Kiss for Corliss)  It is a sequel to the 1945 film ""Kiss and Tell"". [S000053] (HQ0002; A Kiss for Corliss)  The film was released on November 25, 1949, by United Artists. [S000045] (HQ0002; Meet Corliss Archer (TV series)) Meet Corliss Archer is an American television sitcom that aired on CBS (July 13, 1951 - August 10, 1951) and in syndication via the Ziv Company from April to December 1954. [S000052] (HQ0002; A Kiss for Corliss)  ""A Kiss for Corliss"" was retitled ""Almost a Bride"" before release and this title appears in the title sequence. [S000050] (HQ0002; A Kiss for Corliss)  It stars Shirley Temple in her final starring role as well as her final film appearance. [S000049] (HQ0002; A Kiss for Corliss) A Kiss for Corliss is a 1949 American comedy film directed by Richard Wallace and written by Howard Dimsdale. [S000039] (HQ0002; Meet Corliss Archer)  From October 3, 1952 to June 26, 1953, it aired on ABC, finally returning to CBS.

Question:
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?

Answer:"
HQ0003,no_rag,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","Answer the question using your general knowledge.

Question:
What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?

Answer:"
HQ0003,basic_rag,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","Answer the question using the provided source context.

Source context:
[S000115] (HQ0003; Animorphs)  It is told in first person, with all six main characters taking turns narrating the books through their own perspectives. [S000114] (HQ0003; Animorphs) Animorphs is a science fantasy series of young adult books written by Katherine Applegate and her husband Michael Grant, writing together under the name K. A. Applegate, and published by Scholastic. [S000086] (HQ0003; The Hork-Bajir Chronicles)  The book is introduced by Tobias, who flies to the valley of the free Hork-Bajir, where Jara Hamee tells him the story of how the Yeerks enslaved the Hork-Bajir, and how Aldrea, an Andalite, and her companion, Dak Hamee, a Hork-Bajir, tried to save their world from the invasion. [S000084] (HQ0003; The Hork-Bajir Chronicles) The Hork-Bajir Chronicles is the second companion book to the ""Animorphs"" series, written by K. A. Applegate. [S000116] (HQ0003; Animorphs)  Horror, war, dehumanization, sanity, morality, innocence, leadership, freedom and growing up are the core themes of the series. [S000077] (HQ0003; Andre Norton Award)  Any published young adult or middle grade science fiction or fantasy novel is eligible for the prize, including graphic novels. [S000118] (HQ0003; Etiquette &amp; Espionage)  It is her first young adult novel, and is set in the same universe as her bestselling Parasol Protectorate adult series. [S000087] (HQ0003; The Hork-Bajir Chronicles)  Jara Hamee's story is narrated from the points of view of Aldrea, Dak Hamee, and Esplin 9466, alternating in similar fashion to the ""Megamorphs"" books.

Question:
What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?

Answer:"
HQ0003,strict_citation_rag,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","You are answering questions using only the provided source context.

Rules:
1. Use only information from the source context.
2. Cite the sentence ID that supports your answer, such as [S000001].
3. If the source does not contain the answer, say: ""The document does not provide enough information.""
4. Do not guess.
5. Do not use outside knowledge.

Source context:
[S000115] (HQ0003; Animorphs)  It is told in first person, with all six main characters taking turns narrating the books through their own perspectives. [S000114] (HQ0003; Animorphs) Animorphs is a science fantasy series of young adult books written by Katherine Applegate and her husband Michael Grant, writing together under the name K. A. Applegate, and published by Scholastic. [S000086] (HQ0003; The Hork-Bajir Chronicles)  The book is introduced by Tobias, who flies to the valley of the free Hork-Bajir, where Jara Hamee tells him the story of how the Yeerks enslaved the Hork-Bajir, and how Aldrea, an Andalite, and her companion, Dak Hamee, a Hork-Bajir, tried to save their world from the invasion. [S000084] (HQ0003; The Hork-Bajir Chronicles) The Hork-Bajir Chronicles is the second companion book to the ""Animorphs"" series, written by K. A. Applegate. [S000116] (HQ0003; Animorphs)  Horror, war, dehumanization, sanity, morality, innocence, leadership, freedom and growing up are the core themes of the series. [S000077] (HQ0003; Andre Norton Award)  Any published young adult or middle grade science fiction or fantasy novel is eligible for the prize, including graphic novels. [S000118] (HQ0003; Etiquette &amp; Espionage)  It is her first young adult novel, and is set in the same universe as her bestselling Parasol Protectorate adult series. [S000087] (HQ0003; The Hork-Bajir Chronicles)  Jara Hamee's story is narrated from the points of view of Aldrea, Dak Hamee, and Esplin 9466, alternating in similar fashion to the ""Megamorphs"" books.

Question:
What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?

Answer:"
HQ0004,no_rag,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"Answer the question using your general knowledge.

Question:
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?

Answer:"
