question_id,answerable,expected_citation,top_source_ids,expected_count,found_at_1,missing_at_1,recall_at_1,any_gold_at_1,all_gold_at_1,found_at_3,missing_at_3,recall_at_3,any_gold_at_3,all_gold_at_3,found_at_5,missing_at_5,recall_at_5,any_gold_at_5,all_gold_at_5,found_at_8,missing_at_8,recall_at_8,any_gold_at_8,all_gold_at_8
HQ0001,yes,S000004 S000017,S000004 S000005 S000006 S000017 S000026 S000002 S000001 S000014,2,S000004,S000017,0.500,yes,no,S000004,S000017,0.500,yes,no,S000004 S000017,,1.000,yes,yes,S000004 S000017,,1.000,yes,yes
HQ0002,yes,S000041 S000042 S000054,S000054 S000051 S000053 S000045 S000052 S000050 S000049 S000039,3,S000054,S000041 S000042,0.333,yes,no,S000054,S000041 S000042,0.333,yes,no,S000054,S000041 S000042,0.333,yes,no,S000054,S000041 S000042,0.333,yes,no
HQ0003,yes,S000084 S000085 S000086 S000114 S000115,S000115 S000114 S000086 S000084 S000116 S000077 S000118 S000087,5,S000115,S000084 S000085 S000086 S000114,0.200,yes,no,S000086 S000114 S000115,S000084 S000085,0.600,yes,no,S000084 S000086 S000114 S000115,S000085,0.800,yes,no,S000084 S000086 S000114 S000115,S000085,0.800,yes,no
HQ0004,yes,S000140 S000141,S000141 S000140 S000134 S000139 S000142 S000137 S000145 S000132,2,S000141,S000140,0.500,yes,no,S000140 S000141,,1.000,yes,yes,S000140 S000141,,1.000,yes,yes,S000140 S000141,,1.000,yes,yes
HQ0005,yes,S000156 S000196,S000196 S000197 S000198 S000193 S000194 S000148 S000195 S000192,2,S000196,S000156,0.500,yes,no,S000196,S000156,0.500,yes,no,S000196,S000156,0.500,yes,no,S000196,S000156,0.500,yes,no
HQ0006,yes,S000210 S000217,S000210 S000211 S000238 S000212 S000213 S000217 S000235 S000232,2,S000210,S000217,0.500,yes,no,S000210,S000217,0.500,yes,no,S000210,S000217,0.500,yes,no,S000210 S000217,,1.000,yes,yes
HQ0007,yes,S000264 S000278,S000264 S000561 S000558 S000559 S000560 S000263 S000268 S000279,2,S000264,S000278,0.500,yes,no,S000264,S000278,0.500,yes,no,S000264,S000278,0.500,yes,no,S000264,S000278,0.500,yes,no
HQ0008,yes,S000350 S000360,S000360 S000350 S000359 S000364 S000362 S000298 S000369 S000358,2,S000360,S000350,0.500,yes,no,S000350 S000360,,1.000,yes,yes,S000350 S000360,,1.000,yes,yes,S000350 S000360,,1.000,yes,yes
HQ0009,yes,S000371 S000373 S000381,S000381 S000371 S000373 S000372 S000382 S000374 S000383 S000386,3,S000381,S000371 S000373,0.333,yes,no,S000371 S000373 S000381,,1.000,yes,yes,S000371 S000373 S000381,,1.000,yes,yes,S000371 S000373 S000381,,1.000,yes,yes
HQ0010,yes,S000430 S000440,S000440 S000430 S000431 S000451 S000429 S000441 S000443 S000622,2,S000440,S000430,0.500,yes,no,S000430 S000440,,1.000,yes,yes,S000430 S000440,,1.000,yes,yes,S000430 S000440,,1.000,yes,yes
HQ0011,yes,S000481 S000498 S000499,S000481 S000498 S000499 S000497 S000500 S000463 S000501 S000460,3,S000481,S000498 S000499,0.333,yes,no,S000481 S000498 S000499,,1.000,yes,yes,S000481 S000498 S000499,,1.000,yes,yes,S000481 S000498 S000499,,1.000,yes,yes
HQ0012,yes,S000520 S000521 S000539,S000540 S000521 S000523 S000528 S000539 S000524 S000515 S000535,3,,S000520 S000521 S000539,0.000,no,no,S000521,S000520 S000539,0.333,yes,no,S000521 S000539,S000520,0.667,yes,no,S000521 S000539,S000520,0.667,yes,no
HQ0013,yes,S000580 S000581 S000582,S000546 S000549 S000547 S000551 S000560 S000582 S000564 S000559,3,,S000580 S000581 S000582,0.000,no,no,,S000580 S000581 S000582,0.000,no,no,,S000580 S000581 S000582,0.000,no,no,S000582,S000580 S000581,0.333,yes,no
HQ0014,yes,S000601 S000604,S000604 S000605 S000601 S000599 S000602 S000598 S000600 S000603,2,S000604,S000601,0.500,yes,no,S000601 S000604,,1.000,yes,yes,S000601 S000604,,1.000,yes,yes,S000601 S000604,,1.000,yes,yes
HQ0015,yes,S000665 S000666 S000675,S000666 S000660 S000665 S000668 S000674 S000672 S000670 S000669,3,S000666,S000665 S000675,0.333,yes,no,S000665 S000666,S000675,0.667,yes,no,S000665 S000666,S000675,0.667,yes,no,S000665 S000666,S000675,0.667,yes,no
HQ0016,yes,S000688 S000740,S000688 S000689 S000690 S000695 S000694 S000705 S000686 S000724,2,S000688,S000740,0.500,yes,no,S000688,S000740,0.500,yes,no,S000688,S000740,0.500,yes,no,S000688,S000740,0.500,yes,no
HQ0017,yes,S000757 S000758 S000759,S000759 S000758 S000761 S000763 S000760 S000778 S000755 S000752,3,S000759,S000757 S000758,0.333,yes,no,S000758 S000759,S000757,0.667,yes,no,S000758 S000759,S000757,0.667,yes,no,S000758 S000759,S000757,0.667,yes,no
HQ0018,yes,S000797 S000801,S000801 S000797 S000806 S000791 S000803 S000812 S000790 S000809,2,S000801,S000797,0.500,yes,no,S000797 S000801,,1.000,yes,yes,S000797 S000801,,1.000,yes,yes,S000797 S000801,,1.000,yes,yes
HQ0019,yes,S000828 S000858,S000858 S000856 S000834 S000843 S000841 S000857 S000835 S000833,2,S000858,S000828,0.500,yes,no,S000858,S000828,0.500,yes,no,S000858,S000828,0.500,yes,no,S000858,S000828,0.500,yes,no
HQ0020,yes,S000868 S000882,S000882 S000868 S000884 S000890 S000881 S000891 S000897 S000892,2,S000882,S000868,0.500,yes,no,S000868 S000882,,1.000,yes,yes,S000868 S000882,,1.000,yes,yes,S000868 S000882,,1.000,yes,yes
