question_id,setting,model_name,provider,retrieval_method,top_source_ids,answer,cited_source,answer_correct,citation_correct,hallucination,refusal_correct,notes
HQ0001,strict_citation_rag,gpt-4.1,openai,saved,S000004 S000005 S000006 S000017 S000026 S000002 S000001 S000014,"Yes, both Scott Derrickson and Ed Wood were American nationals [S000004] [S000017].",S000004 S000017,yes,yes,no,na,first-20 label
HQ0002,strict_citation_rag,gpt-4.1,openai,saved,S000054 S000051 S000053 S000045 S000052 S000050 S000049 S000039,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0003,strict_citation_rag,gpt-4.1,openai,saved,S000115 S000114 S000086 S000084 S000116 S000077 S000118 S000087,"The science fantasy young adult series is ""Animorphs,"" which is told in first person with all six main characters taking turns narrating the books through their own perspectives and has companion books such as ""The Hork-Bajir Chronicles"" that narrate the stories of enslaved worlds and alien species [S000115], [S000114], [S000084], [S000086].",S000084 S000086 S000114 S000115,yes,yes,no,na,
HQ0004,strict_citation_rag,gpt-4.1,openai,saved,S000141 S000140 S000134 S000139 S000142 S000137 S000145 S000132,The document does not provide enough information.,,no,na,no,na,answerable yes/no question refused
HQ0005,strict_citation_rag,gpt-4.1,openai,saved,S000196 S000197 S000198 S000193 S000194 S000148 S000195 S000192,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0006,strict_citation_rag,gpt-4.1,openai,saved,S000210 S000211 S000238 S000212 S000213 S000217 S000235 S000232,2014 S/S is the debut album of a South Korean boy group that was formed by YG Entertainment [S000210] [S000217].,S000210 S000217,yes,yes,no,na,
HQ0007,strict_citation_rag,gpt-4.1,openai,saved,S000264 S000561 S000558 S000559 S000560 S000263 S000268 S000279,"Eenasul Fateh, also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant [S000264].",S000264,yes,partial,no,na,"answer correct, citation misses one chain source"
HQ0008,strict_citation_rag,gpt-4.1,openai,saved,S000360 S000350 S000359 S000364 S000362 S000298 S000369 S000358,"The arena where the Lewiston Maineiacs played their home games can seat 3,677 people [S000350].",S000350,yes,partial,no,na,"answer correct, citation misses one chain source"
HQ0009,strict_citation_rag,gpt-4.1,openai,saved,S000381 S000371 S000373 S000372 S000382 S000374 S000383 S000386,Terry Richardson is older than Annie Morton [S000381] [S000371].,S000371 S000381,yes,yes,no,na,
HQ0010,strict_citation_rag,gpt-4.1,openai,saved,S000440 S000430 S000431 S000451 S000429 S000441 S000443 S000622,"Yes, both Local H and For Against are from the United States [S000440] [S000430].",S000430 S000440,yes,yes,no,na,
HQ0011,strict_citation_rag,gpt-4.1,openai,saved,S000481 S000498 S000499 S000497 S000500 S000463 S000501 S000460,"The name of the fight song is ""Kansas Song (We’re From Kansas)"" [S000481].",S000481,yes,partial,no,na,"answer correct, citation only supports song title"
HQ0012,strict_citation_rag,gpt-4.1,openai,saved,S000540 S000521 S000523 S000528 S000539 S000524 S000515 S000535,"David Weissman, who has credits for ""Evolution,"" co-wrote ""The Family Man,"" a film starring Nicolas Cage and Téa Leoni [S000521], [S000539].",S000521 S000539,yes,yes,no,na,
HQ0013,strict_citation_rag,gpt-4.1,openai,saved,S000546 S000549 S000547 S000551 S000560 S000582 S000564 S000559,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0014,strict_citation_rag,gpt-4.1,openai,saved,S000604 S000605 S000601 S000599 S000602 S000598 S000600 S000603,The document does not provide enough information.,,no,na,no,na,answerable yes/no question refused
HQ0015,strict_citation_rag,gpt-4.1,openai,saved,S000666 S000660 S000665 S000668 S000674 S000672 S000670 S000669,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0016,strict_citation_rag,gpt-4.1,openai,saved,S000688 S000689 S000690 S000695 S000694 S000705 S000686 S000724,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0017,strict_citation_rag,gpt-4.1,openai,saved,S000759 S000758 S000761 S000763 S000760 S000778 S000755 S000752,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0018,strict_citation_rag,gpt-4.1,openai,saved,S000801 S000797 S000806 S000791 S000803 S000812 S000790 S000809,"Yes, Giuseppe Verdi and Ambroise Thomas are both opera composers [S000801] [S000797].",S000797 S000801,yes,yes,no,na,
HQ0019,strict_citation_rag,gpt-4.1,openai,saved,S000858 S000856 S000834 S000843 S000841 S000857 S000835 S000833,"Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs in the Department of Health, Education, and Welfare during the Nixon administration [S000858].

The document does not provide enough information.",S000858,no,partial,no,na,role supported but requested years missing
HQ0020,strict_citation_rag,gpt-4.1,openai,saved,S000882 S000868 S000884 S000890 S000881 S000891 S000897 S000892,"Robert Erskine Childers was from England, as he was a British writer [S000882].",S000882,yes,partial,no,na,"answer correct, citation misses comparison source"
HQ0021,strict_citation_rag,gpt-4.1,openai,saved,S000932 S000930 S000931 S000915 S000917 S000936 S000923 S000903,The document does not provide enough information.,,no,na,no,na,Incorrect refusal on answerable question.
HQ0022,strict_citation_rag,gpt-4.1,openai,saved,S000978 S000964 S000979 S000953 S000974 S000943 S000976 S000972,The document does not provide enough information.,,no,na,no,na,Incorrect refusal on answerable question.
HQ0023,strict_citation_rag,gpt-4.1,openai,saved,S000995 S000997 S000994 S000993 S000999 S000996 S000998 S001010,The keyboard function keys can also control the program Apple Remote was originally designed to interact with [S001010].,S001010,yes,partial,no,na,Correct answer; citation supports keyboard function keys but omits Apple Remote/Front Row setup.
HQ0024,strict_citation_rag,gpt-4.1,openai,saved,S001038 S001039 S001060 S001047 S001043 S001058 S001045 S001048,The document does not provide enough information.,,no,na,no,na,Incorrect refusal on answerable comparison question.
HQ0025,strict_citation_rag,gpt-4.1,openai,saved,S001073 S001094 S001093 S001074 S001071 S001072 S001089 S001086,"Peter Schmeichel, the father of Kasper Schmeichel, was voted the IFFHS World's Best Goalkeeper in 1992 [S001073].",S001073,yes,partial,no,na,Correct answer; citation supports award but omits Kasper/Peter father relation.
HQ0026,strict_citation_rag,gpt-4.1,openai,saved,S001131 S001132 S001129 S001103 S001133 S001124 S001134 S001135,The document does not provide enough information.,,no,na,no,na,Incorrect refusal; expected Lee/Barton Lee Hazlewood.
HQ0027,strict_citation_rag,gpt-4.1,openai,saved,S001166 S001139 S001159 S001187 S001170 S001145 S001164 S001169,The document does not provide enough information.,,no,na,no,na,Incorrect refusal due missing VCU founding-year evidence.
HQ0028,strict_citation_rag,gpt-4.1,openai,saved,S001204 S001203 S001207 S001199 S001202 S001200 S001205 S001208,"Yes, both Dictyosperma and Huernia are described as a genus [S001204], [S001199].",S001199 S001204,yes,yes,no,na,Correct answer; citations support both genus claims.
HQ0029,strict_citation_rag,gpt-4.1,openai,saved,S001230 S001223 S001231 S001225 S001226 S001234 S001224 S001222,"Yes, Kaiser Ventures corporation was founded by Henry J. Kaiser, an American industrialist who became known as the father of modern American shipbuilding [S001230] [S001225].",S001225 S001230,yes,yes,no,na,Correct answer; citations support Henry J. Kaiser and shipbuilding description.
HQ0030,strict_citation_rag,gpt-4.1,openai,saved,S001245 S001246 S001254 S001275 S001274 S001273 S001261 S001258,"Arena of Khazan is the name of the adventure in ""Tunnels & Trolls"", a game designed by Ken St. Andre [S001273].",S001273,yes,partial,no,na,Correct answer; citation supports adventure name but omits Tunnels & Trolls designer support.
HQ0031,strict_citation_rag,gpt-4.1,openai,saved,S001315 S001318 S001319 S001282 S001316 S001298 S001296 S001295,The document does not provide enough information.,,no,na,no,na,Incorrect refusal; expected release year 2000.
HQ0032,strict_citation_rag,gpt-4.1,openai,saved,S001335 S001324 S001337 S001338 S001321 S001336 S001328 S001355,"Buck-Tick is a Japanese rock band, formed in Fujioka, Gunma in 1983 [S001335].",S001335,yes,yes,no,na,"Correct answer; citation supports Fujioka, Gunma."
HQ0033,strict_citation_rag,gpt-4.1,openai,saved,S001386 S001385 S001361 S001377 S001384 S001387 S001369 S001378,The French ace pilot and adventurer who flew L'Oiseau Blanc were Charles Nungesser and François Coli [S001386].,S001386,partial,partial,no,na,Partial: includes expected Charles Nungesser but also adds François Coli.
HQ0034,strict_citation_rag,gpt-4.1,openai,saved,S001431 S001432 S001428 S001396 S001391 S001395 S001430 S001390,"No, only Freakonomics is an American documentary. In the Realm of the Hackers is an Australian documentary directed by Kevin Anderson [S001431]; [S001428].",S001428 S001431,yes,yes,no,na,Correct answer; citations support American vs Australian documentary distinction.
HQ0035,strict_citation_rag,gpt-4.1,openai,saved,S001439 S001473 S001469 S001472 S001440 S001476 S001471 S001446,"Letters to Cleo had more members. The band’s members are Kay Hanley, Greg McKenna, Michael Eisenstein, Stacy Jones, Scott Riebling, and later, Tom Polce, totaling six members [S001440]. Screaming Trees was formed by four members: Mark Lanegan, Gary Lee Conner, Van Conner, and Mark Pickerel [S001469].",S001440 S001469,yes,yes,no,na,Correct answer; citations support listed member counts.
HQ0036,strict_citation_rag,gpt-4.1,openai,saved,S001529 S001519 S001511 S001484 S001526 S001528 S001516 S001527,"The Russian Civil War ended in 1923 in the sense that Red control of the newly formed Soviet Union was now assured, although armed national resistance in Central Asia was not completely crushed until 1934 [S001519].",S001519,no,yes,no,na,Wrong benchmark answer; cited source supports model answer but conflicts with expected October 1922.
HQ0037,strict_citation_rag,gpt-4.1,openai,saved,S001563 S001564 S001562 S001549 S001543 S001551 S001544 S001559,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since 2000 [S001549].,S001549,yes,partial,no,na,Correct answer; citation supports year but omits book-author link.
HQ0038,strict_citation_rag,gpt-4.1,openai,saved,S001565 S001566 S001577 S001573 S001594 S001569 S001571 S001586,The document does not provide enough information.,,no,na,no,na,Incorrect refusal; expected World War II.
HQ0039,strict_citation_rag,gpt-4.1,openai,saved,S001607 S001608 S001609 S001630 S001629 S001622 S001606 S001632,"No, only Gerald R. Ford International Airport is located in Michigan. Elko Regional Airport is located in Elko County, Nevada [S001606], while Gerald R. Ford International Airport is southeast of Grand Rapids, Michigan [S001607].",S001606 S001607,yes,yes,no,na,Correct answer; citations support Michigan vs Nevada locations.
HQ0040,strict_citation_rag,gpt-4.1,openai,saved,S001665 S001667 S001647 S001641 S001644 S001666 S001661 S001548,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City [S001665].",S001665,yes,no,yes,na,"Correct answer, but New York City location is unsupported by cited/retrieved evidence."
HQ0041,strict_citation_rag,gpt-4.1,openai,saved,S001713 S001712 S001687 S001677 S001710 S001701 S001721 S001683,The Scotch Collie's ancestors include the Gordon and Irish Setters [S001713].,S001713,yes,yes,no,na,Correct answer; citation supports Scotch Collie ancestors.
HQ0042,strict_citation_rag,gpt-4.1,openai,saved,S001738 S001735 S001739 S001726 S001740 S001725 S001737 S001736,The document does not provide enough information.,,no,na,no,na,Incorrect refusal due missing Tata Consultancy Services headquarters evidence.
HQ0043,strict_citation_rag,gpt-4.1,openai,saved,S001824 S001823 S001767 S001822 S001769 S001808 S001789 S001788,The document does not provide enough information.,,no,na,no,na,Incorrect refusal due missing Masakazu Katsura birth-year evidence.
HQ0044,strict_citation_rag,gpt-4.1,openai,saved,S001869 S001857 S001834 S001867 S001877 S001876 S001828 S001872,The battle in which Giuseppe Arimondi lost his life secured Ethiopian sovereignty [S001857].,S001857,yes,partial,no,na,Correct answer; citation supports sovereignty but omits Arimondi death-at-Adwa link.
HQ0045,strict_citation_rag,gpt-4.1,openai,saved,S001942 S001940 S001919 S001943 S001941 S001918 S000827 S000843,The document does not provide enough information.,,no,na,no,na,Incorrect refusal; expected Nelson Rockefeller.
HQ0046,strict_citation_rag,gpt-4.1,openai,saved,S001969 S001956 S001958 S001953 S001954 S001970 S001974 S001968,"Yellowcraigs is bordered to the south by the village of Dirleton and Dirleton Castle, a medieval fortress in Dirleton, East Lothian, Scotland [S001968].",S001968,yes,yes,no,na,Correct answer; citation supports Yellowcraigs south border.
HQ0047,strict_citation_rag,gpt-4.1,openai,saved,S001992 S001994 S002018 S002020 S002023 S002019 S002017 S001993,The document does not provide enough information.,,no,na,no,na,Incorrect refusal due missing song-writer/tombstone evidence.
HQ0048,strict_citation_rag,gpt-4.1,openai,saved,S001922 S001923 S002075 S002066 S002073 S002058 S002085 S002050,"A former Soviet statesman, Mikhail Gorbachev, initiated the World Summit of Nobel Peace Laureates as a forum in which the Nobel Peace Laureates and the Peace Laureate Organizations could come together to address global issues with a view to encourage and support peace and human well being in the world [S002066].",S002066,yes,yes,no,na,Correct answer; citation supports forum description.
HQ0049,strict_citation_rag,gpt-4.1,openai,saved,S002133 S002134 S002135 S002120 S002101 S002103 S002139 S002095,"Yes, Ferocactus and Silene are both types of plant [S002133]; [S002101].",S002101 S002133,yes,yes,no,na,Correct answer; citations support both as plant types.
HQ0050,strict_citation_rag,gpt-4.1,openai,saved,S002149 S002153 S002157 S002159 S002155 S002160 S002167 S002156,The document does not provide enough information.,,no,na,no,na,Incorrect refusal despite retrieved evidence containing support sentences.
