question_id,setting,model_name,retrieval_method,top_source_ids,answer,cited_source,answer_correct,citation_correct,hallucination,refusal_correct,notes
HQ0001,strict_citation_rag,gpt-4.1-mini,vector,S000004 S000005 S000006 S000017 S000026 S000002 S000001 S000014,"Yes, Scott Derrickson and Ed Wood were of the same nationality; both were American. This is supported by the information that Scott Derrickson is an American director [S000004], and Ed Wood was an American filmmaker [S000017].",S000004 S000017,yes,yes,no,na,Correct answer and citations support both nationality claims.
HQ0002,strict_citation_rag,gpt-4.1-mini,vector,S000054 S000051 S000053 S000045 S000052 S000050 S000049 S000039,The document does not provide enough information.,,no,na,no,na,Incorrect refusal caused by vector retrieval missing Shirley Temple government-position evidence.
HQ0003,strict_citation_rag,gpt-4.1-mini,vector,S000115 S000114 S000086 S000084 S000116 S000077 S000118 S000087,"The science fantasy young adult series is ""Animorphs,"" which is told in first person by its six main characters taking turns narrating the books through their own perspectives. It has companion books such as ""The Hork-Bajir Chronicles,"" which narrate the stories of enslaved worlds and alien species like the Hork-Bajir, with narration alternating among different characters [S000115], [S000114], [S000084], [S000086], [S000087].",S000084 S000086 S000087 S000114 S000115,yes,yes,no,na,"Correct answer. Cited passages support Animorphs, companion book, enslaved Hork-Bajir story, and first-person narration."
HQ0004,strict_citation_rag,gpt-4.1-mini,vector,S000141 S000140 S000134 S000139 S000142 S000137 S000145 S000132,"No, the Laleli Mosque and Esma Sultan Mansion are not located in the same neighborhood. The Laleli Mosque is located in Laleli, Fatih, Istanbul [S000140], while the Esma Sultan Mansion is located in the Ortaköy neighborhood of Istanbul [S000141].",S000140 S000141,yes,yes,no,na,Correct comparison and both citations support the answer.
HQ0005,strict_citation_rag,gpt-4.1-mini,vector,S000196 S000197 S000198 S000193 S000194 S000148 S000195 S000192,The document does not provide enough information.,,no,na,no,na,Incorrect refusal caused by vector retrieval missing the Adriana Trigiani location evidence.
HQ0006,strict_citation_rag,gpt-4.1-mini,vector,S000210 S000211 S000238 S000212 S000213 S000217 S000235 S000232,"2014 S/S is the debut album of South Korean group WINNER, which is a boy group formed in 2013 by YG Entertainment [S000210][S000217].",S000210 S000217,yes,yes,no,na,Correct answer. Citations support WINNER and YG Entertainment.
HQ0007,strict_citation_rag,gpt-4.1-mini,vector,S000264 S000561 S000558 S000559 S000560 S000263 S000268 S000279,"Eenasul Fateh was known by his stage name Aladin and is a cultural practitioner, magician, live artist, and former international management consultant [S000264].",S000264,yes,partial,no,na,Correct answer. Citation supports identity and consultant role but omits the management-consulting definition supporting the clue wording.
HQ0008,strict_citation_rag,gpt-4.1-mini,vector,S000360 S000350 S000359 S000364 S000362 S000298 S000369 S000358,"The arena where the Lewiston Maineiacs played their home games, the Androscoggin Bank Colisée, has a capacity of 4,000 people (3,677 seated) [S000360], [S000350].",S000350 S000360,partial,yes,no,na,"Expected answer is 3,677 seated. Model included 3,677 seated but also added 4,000 capacity."
HQ0009,strict_citation_rag,gpt-4.1-mini,vector,S000381 S000371 S000373 S000372 S000382 S000374 S000383 S000386,"Terry Richardson is older. He was born on August 14, 1965, while Annie Morton was born on October 8, 1970 [S000381], [S000371].",S000371 S000381,yes,yes,no,na,Correct answer. Citations support birth dates used for age comparison.
HQ0010,strict_citation_rag,gpt-4.1-mini,vector,S000440 S000430 S000431 S000451 S000429 S000441 S000443 S000622,"Yes, both Local H and For Against are from the United States. For Against is a band from Lincoln, Nebraska, and Local H is an American rock band originally formed in Zion, Illinois [S000440], [S000430].",S000430 S000440,yes,yes,no,na,Correct answer. Citations support both groups being from the United States.
HQ0011,strict_citation_rag,gpt-4.1-mini,vector,S000481 S000498 S000499 S000497 S000500 S000463 S000501 S000460,"The name of the fight song of the university whose main campus is in Lawrence, Kansas, and whose branch campuses are in the Kansas City metropolitan area is ""Kansas Song (We’re From Kansas)"" [S000481, S000498, S000499].",S000481 S000498 S000499,yes,yes,no,na,Correct answer. Citations support university context and fight song.
HQ0012,strict_citation_rag,gpt-4.1-mini,vector,S000540 S000521 S000523 S000528 S000539 S000524 S000515 S000535,"David Weissman, who has film credits including ""Evolution"" (2001), co-wrote ""The Family Man,"" a film starring Nicolas Cage and Téa Leoni [S000521], [S000539].",S000521 S000539,yes,yes,no,na,"Correct answer. Citations support David Weissman, Evolution, and The Family Man connection."
HQ0013,strict_citation_rag,gpt-4.1-mini,vector,S000546 S000549 S000547 S000551 S000560 S000582 S000564 S000559,The document does not provide enough information.,,no,na,no,na,Incorrect refusal caused by vector retrieval missing key End of Days and promo evidence.
HQ0014,strict_citation_rag,gpt-4.1-mini,vector,S000604 S000605 S000601 S000599 S000602 S000598 S000600 S000603,"The document indicates that the Random House Tower is used as the headquarters of book publisher Random House and as a luxury apartment complex [S000604]. The 888 7th Avenue building is described as a modern-style office skyscraper that currently carries the Vornado Realty Trust corporate headquarters [S000601]. Since the Random House Tower includes residential apartments (real estate use) and 888 7th Avenue serves as a corporate office building (real estate use), both are used for real estate purposes.

Therefore, yes, both Random House Tower and 888 7th Avenue are used for real estate [S000604][S000601].",S000601 S000604,no,no,yes,na,Incorrect answer. The model overgeneralizes from building-use evidence and contradicts the gold answer.
HQ0015,strict_citation_rag,gpt-4.1-mini,vector,S000666 S000660 S000665 S000668 S000674 S000672 S000670 S000669,"The football manager who recruited David Beckham managed Manchester United starting in 1992, as David Beckham was part of the Class of '92 under the management of Sir Alex Ferguson [S000668]. Sir Alex Ferguson was not directly dated in the provided context, but it mentions Busby managed Manchester United between 1945 and 1969 and in 1970–71, which is before Beckham's time [S000672]. Therefore, the manager who recruited David Beckham was Sir Alex Ferguson during the early 1990s. However, the exact timeframe of Sir Alex Ferguson's management is not given in the source context. 

Hence, the best supported answer:

The football manager who recruited David Beckham was managing Manchester United starting in 1992, as Beckham's career with Manchester United began then [S000668].",S000668 S000672,no,no,yes,na,Incorrect answer. Model invents/infers an unsupported management timeframe instead of the expected 1986 to 2013.
HQ0016,strict_citation_rag,gpt-4.1-mini,vector,S000688 S000689 S000690 S000695 S000694 S000705 S000686 S000724,The document does not provide enough information.,,no,na,no,na,"Incorrect refusal. Expected answer is 9,984, but vector retrieval missed the county population evidence."
HQ0017,strict_citation_rag,gpt-4.1-mini,vector,S000759 S000758 S000761 S000763 S000760 S000778 S000755 S000752,The document does not provide enough information.,,no,na,no,na,Incorrect refusal. Expected answer is the North Atlantic Conference.
HQ0018,strict_citation_rag,gpt-4.1-mini,vector,S000801 S000797 S000806 S000791 S000803 S000812 S000790 S000809,"Yes, both Giuseppe Verdi and Ambroise Thomas are opera composers. Giuseppe Verdi is described as an Italian opera composer [S000797], and Ambroise Thomas is noted as a French composer best known for his operas ""Mignon"" and ""Hamlet"" [S000801].",S000797 S000801,yes,yes,no,na,Correct answer. Citations support both composers being opera composers.
