question_id,hotpotqa_id,type,level,source_sentence_ids,supporting_sentence_ids
HQ0001,5a8b57f25542995d1e6f1371,comparison,hard,S000001 S000002 S000003 S000004 S000005 S000006 S000007 S000008 S000009 S000010 S000011 S000012 S000013 S000014 S000015 S000016 S000017 S000018 S000019 S000020 S000021 S000022 S000023 S000024 S000025 S000026 S000027 S000028 S000029 S000030 S000031 S000032 S000033 S000034 S000035 S000036,S000004 S000017
HQ0002,5a8c7595554299585d9e36b6,bridge,hard,S000037 S000038 S000039 S000040 S000041 S000042 S000043 S000044 S000045 S000046 S000047 S000048 S000049 S000050 S000051 S000052 S000053 S000054 S000055 S000056 S000057 S000058 S000059 S000060 S000061 S000062 S000063 S000064 S000065 S000066 S000067 S000068 S000069 S000070 S000071 S000072 S000073 S000074,S000041 S000042 S000054
HQ0003,5a85ea095542994775f606a8,bridge,hard,S000075 S000076 S000077 S000078 S000079 S000080 S000081 S000082 S000083 S000084 S000085 S000086 S000087 S000088 S000089 S000090 S000091 S000092 S000093 S000094 S000095 S000096 S000097 S000098 S000099 S000100 S000101 S000102 S000103 S000104 S000105 S000106 S000107 S000108 S000109 S000110 S000111 S000112 S000113 S000114 S000115 S000116 S000117 S000118,S000084 S000085 S000086 S000114 S000115
HQ0004,5adbf0a255429947ff17385a,comparison,hard,S000119 S000120 S000121 S000122 S000123 S000124 S000125 S000126 S000127 S000128 S000129 S000130 S000131 S000132 S000133 S000134 S000135 S000136 S000137 S000138 S000139 S000140 S000141 S000142 S000143 S000144 S000145 S000146,S000140 S000141
HQ0005,5a8e3ea95542995a26add48d,bridge,hard,S000147 S000148 S000149 S000150 S000151 S000152 S000153 S000154 S000155 S000156 S000157 S000158 S000159 S000160 S000161 S000162 S000163 S000164 S000165 S000166 S000167 S000168 S000169 S000170 S000171 S000172 S000173 S000174 S000175 S000176 S000177 S000178 S000179 S000180 S000181 S000182 S000183 S000184 S000185 S000186 S000187 S000188 S000189 S000190 S000191 S000192 S000193 S000194 S000195 S000196 S000197 S000198,S000156 S000196
HQ0006,5abd94525542992ac4f382d2,bridge,hard,S000199 S000200 S000201 S000202 S000203 S000204 S000205 S000206 S000207 S000208 S000209 S000210 S000211 S000212 S000213 S000214 S000215 S000216 S000217 S000218 S000219 S000220 S000221 S000222 S000223 S000224 S000225 S000226 S000227 S000228 S000229 S000230 S000231 S000232 S000233 S000234 S000235 S000236 S000237 S000238 S000239 S000240 S000241 S000242 S000243,S000210 S000217
HQ0007,5a85b2d95542997b5ce40028,bridge,hard,S000244 S000245 S000246 S000247 S000248 S000249 S000250 S000251 S000252 S000253 S000254 S000255 S000256 S000257 S000258 S000259 S000260 S000261 S000262 S000263 S000264 S000265 S000266 S000267 S000268 S000269 S000270 S000271 S000272 S000273 S000274 S000275 S000276 S000277 S000278 S000279 S000280 S000281 S000282 S000283 S000284 S000285 S000286 S000287 S000288 S000289 S000290 S000291 S000292 S000293 S000294 S000295,S000264 S000278
HQ0008,5a87ab905542996e4f3088c1,bridge,hard,S000296 S000297 S000298 S000299 S000300 S000301 S000302 S000303 S000304 S000305 S000306 S000307 S000308 S000309 S000310 S000311 S000312 S000313 S000314 S000315 S000316 S000317 S000318 S000319 S000320 S000321 S000322 S000323 S000324 S000325 S000326 S000327 S000328 S000329 S000330 S000331 S000332 S000333 S000334 S000335 S000336 S000337 S000338 S000339 S000340 S000341 S000342 S000343 S000344 S000345 S000346 S000347 S000348 S000349 S000350 S000351 S000352 S000353 S000354 S000355 S000356 S000357 S000358 S000359 S000360 S000361 S000362 S000363 S000364 S000365 S000366 S000367 S000368 S000369 S000370,S000350 S000360
HQ0009,5a7bbb64554299042af8f7cc,bridge,hard,S000371 S000372 S000373 S000374 S000375 S000376 S000377 S000378 S000379 S000380 S000381 S000382 S000383 S000384 S000385 S000386 S000387 S000388 S000389 S000390 S000391 S000392 S000393 S000394 S000395 S000396 S000397 S000398 S000399 S000400 S000401 S000402 S000403 S000404 S000405 S000406 S000407 S000408 S000409,S000371 S000373 S000381
HQ0010,5a8db19d5542994ba4e3dd00,comparison,hard,S000410 S000411 S000412 S000413 S000414 S000415 S000416 S000417 S000418 S000419 S000420 S000421 S000422 S000423 S000424 S000425 S000426 S000427 S000428 S000429 S000430 S000431 S000432 S000433 S000434 S000435 S000436 S000437 S000438 S000439 S000440 S000441 S000442 S000443 S000444 S000445 S000446 S000447 S000448 S000449 S000450 S000451 S000452 S000453,S000430 S000440
