question_id,setting,model_name,answer,cited_source,answer_correct,citation_correct,hallucination,refusal_correct,notes
Q1,no_rag,Sample-Model,"Employees receive 10 paid vacation days per year.","",no,na,yes,na,"No source was provided, so the model guessed the wrong number."
Q2,no_rag,Sample-Model,"Employees can work remotely if their role allows it.","",partial,na,yes,na,"The answer sounds plausible but is not grounded in the source."
Q3,no_rag,Sample-Model,"Health insurance usually begins after a waiting period.","",partial,na,yes,na,"Generic answer, not the exact source answer."
Q4,no_rag,Sample-Model,"Equipment reimbursement depends on company policy.","",partial,na,no,na,"Vague answer."
Q5,no_rag,Sample-Model,"Some companies provide free lunch, but it depends on the office.","",no,na,yes,no,"The model did not refuse."
Q6,no_rag,Sample-Model,"Employees may work internationally with approval.","",no,na,yes,no,"The model invented a policy."
Q7,no_rag,Sample-Model,"Training courses may be reimbursed if approved.","",partial,na,no,na,"Close but not grounded in a cited source."
Q8,no_rag,Sample-Model,"Employees receive 10 sick days per year.","",no,na,yes,no,"The model invented a sick leave policy."
Q1,basic_rag,Sample-Model,"Employees receive 12 paid vacation days per year.",S1,yes,yes,no,na,"Correct."
Q2,basic_rag,Sample-Model,"Employees can work remotely two days per week.",S2,partial,yes,no,na,"Misses manager approval."
Q3,basic_rag,Sample-Model,"Health insurance begins after 30 days of employment.",S3,partial,yes,no,na,"Misses first day of the month."
Q4,basic_rag,Sample-Model,"Employees may request equipment reimbursement up to $500 with receipts.",S4,yes,yes,no,na,"Correct."
Q5,basic_rag,Sample-Model,"The document does not mention free lunch.","",yes,na,no,yes,"Correct refusal."
Q6,basic_rag,Sample-Model,"Employees can work remotely up to two days per week with manager approval.",S2,no,no,yes,no,"This answers remote work but not another country."
Q7,basic_rag,Sample-Model,"Job-related training courses may be reimbursed with manager approval before enrollment.",S5,yes,yes,no,na,"Correct."
Q8,basic_rag,Sample-Model,"The document does not provide enough information about sick leave.","",yes,na,no,yes,"Correct refusal."
Q1,strict_citation_rag,Sample-Model,"Employees receive 12 paid vacation days per year. [S1]",S1,yes,yes,no,na,"Correct and cited."
Q2,strict_citation_rag,Sample-Model,"Remote work is allowed up to two days per week with manager approval. [S2]",S2,yes,yes,no,na,"Correct and cited."
Q3,strict_citation_rag,Sample-Model,"Health insurance begins on the first day of the month after 30 days of employment. [S3]",S3,yes,yes,no,na,"Correct and cited."
Q4,strict_citation_rag,Sample-Model,"Employees may request reimbursement for approved work equipment up to $500 with receipts. [S4]",S4,yes,yes,no,na,"Correct and cited."
Q5,strict_citation_rag,Sample-Model,"The document does not provide enough information.","",yes,na,no,yes,"Correct refusal."
Q6,strict_citation_rag,Sample-Model,"The document does not provide enough information.","",yes,na,no,yes,"Correct refusal."
Q7,strict_citation_rag,Sample-Model,"Job-related training courses may be reimbursed if the employee receives manager approval before enrollment. [S5]",S5,yes,yes,no,na,"Correct and cited."
Q8,strict_citation_rag,Sample-Model,"The document does not provide enough information.","",yes,na,no,yes,"Correct refusal."
