question_id,setting,model_name,provider,retrieval_method,top_source_ids,answer,cited_source,answer_correct,citation_correct,hallucination,refusal_correct,notes
HQ0001,strict_citation_rag,gpt-4.1,openai,saved,S000004 S000005 S000006 S000017 S000026 S000002 S000001 S000014,"Yes, both Scott Derrickson and Ed Wood were American nationals [S000004] [S000017].",S000004 S000017,yes,yes,no,na,first-20 label
HQ0002,strict_citation_rag,gpt-4.1,openai,saved,S000054 S000051 S000053 S000045 S000052 S000050 S000049 S000039,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0003,strict_citation_rag,gpt-4.1,openai,saved,S000115 S000114 S000086 S000084 S000116 S000077 S000118 S000087,"The science fantasy young adult series is ""Animorphs,"" which is told in first person with all six main characters taking turns narrating the books through their own perspectives and has companion books such as ""The Hork-Bajir Chronicles"" that narrate the stories of enslaved worlds and alien species [S000115], [S000114], [S000084], [S000086].",S000084 S000086 S000114 S000115,yes,yes,no,na,
HQ0004,strict_citation_rag,gpt-4.1,openai,saved,S000141 S000140 S000134 S000139 S000142 S000137 S000145 S000132,The document does not provide enough information.,,no,na,no,na,answerable yes/no question refused
HQ0005,strict_citation_rag,gpt-4.1,openai,saved,S000196 S000197 S000198 S000193 S000194 S000148 S000195 S000192,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0006,strict_citation_rag,gpt-4.1,openai,saved,S000210 S000211 S000238 S000212 S000213 S000217 S000235 S000232,2014 S/S is the debut album of a South Korean boy group that was formed by YG Entertainment [S000210] [S000217].,S000210 S000217,yes,yes,no,na,
HQ0007,strict_citation_rag,gpt-4.1,openai,saved,S000264 S000561 S000558 S000559 S000560 S000263 S000268 S000279,"Eenasul Fateh, also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant [S000264].",S000264,yes,partial,no,na,"answer correct, citation misses one chain source"
HQ0008,strict_citation_rag,gpt-4.1,openai,saved,S000360 S000350 S000359 S000364 S000362 S000298 S000369 S000358,"The arena where the Lewiston Maineiacs played their home games can seat 3,677 people [S000350].",S000350,yes,partial,no,na,"answer correct, citation misses one chain source"
HQ0009,strict_citation_rag,gpt-4.1,openai,saved,S000381 S000371 S000373 S000372 S000382 S000374 S000383 S000386,Terry Richardson is older than Annie Morton [S000381] [S000371].,S000371 S000381,yes,yes,no,na,
HQ0010,strict_citation_rag,gpt-4.1,openai,saved,S000440 S000430 S000431 S000451 S000429 S000441 S000443 S000622,"Yes, both Local H and For Against are from the United States [S000440] [S000430].",S000430 S000440,yes,yes,no,na,
HQ0011,strict_citation_rag,gpt-4.1,openai,saved,S000481 S000498 S000499 S000497 S000500 S000463 S000501 S000460,"The name of the fight song is ""Kansas Song (We’re From Kansas)"" [S000481].",S000481,yes,partial,no,na,"answer correct, citation only supports song title"
HQ0012,strict_citation_rag,gpt-4.1,openai,saved,S000540 S000521 S000523 S000528 S000539 S000524 S000515 S000535,"David Weissman, who has credits for ""Evolution,"" co-wrote ""The Family Man,"" a film starring Nicolas Cage and Téa Leoni [S000521], [S000539].",S000521 S000539,yes,yes,no,na,
HQ0013,strict_citation_rag,gpt-4.1,openai,saved,S000546 S000549 S000547 S000551 S000560 S000582 S000564 S000559,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0014,strict_citation_rag,gpt-4.1,openai,saved,S000604 S000605 S000601 S000599 S000602 S000598 S000600 S000603,The document does not provide enough information.,,no,na,no,na,answerable yes/no question refused
HQ0015,strict_citation_rag,gpt-4.1,openai,saved,S000666 S000660 S000665 S000668 S000674 S000672 S000670 S000669,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0016,strict_citation_rag,gpt-4.1,openai,saved,S000688 S000689 S000690 S000695 S000694 S000705 S000686 S000724,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0017,strict_citation_rag,gpt-4.1,openai,saved,S000759 S000758 S000761 S000763 S000760 S000778 S000755 S000752,The document does not provide enough information.,,no,na,no,na,answerable question refused
HQ0018,strict_citation_rag,gpt-4.1,openai,saved,S000801 S000797 S000806 S000791 S000803 S000812 S000790 S000809,"Yes, Giuseppe Verdi and Ambroise Thomas are both opera composers [S000801] [S000797].",S000797 S000801,yes,yes,no,na,
HQ0019,strict_citation_rag,gpt-4.1,openai,saved,S000858 S000856 S000834 S000843 S000841 S000857 S000835 S000833,"Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs in the Department of Health, Education, and Welfare during the Nixon administration [S000858].

The document does not provide enough information.",S000858,no,partial,no,na,role supported but requested years missing
HQ0020,strict_citation_rag,gpt-4.1,openai,saved,S000882 S000868 S000884 S000890 S000881 S000891 S000897 S000892,"Robert Erskine Childers was from England, as he was a British writer [S000882].",S000882,yes,partial,no,na,"answer correct, citation misses comparison source"
