question_id,setting,model_name,provider,retrieval_method,top_source_ids,answer,cited_source,answer_correct,citation_correct,hallucination,refusal_correct,notes
HQ0001,strict_citation_rag,claude-sonnet-4-5,anthropic,saved,S000004 S000005 S000006 S000017 S000026 S000002 S000001 S000014,"Based on the source context, Scott Derrickson is described as ""an American director, screenwriter and producer"" [S000004], and Ed Wood (Edward Davis Wood Jr.) is described as ""an American filmmaker, actor, writer, producer, and director"" [S000017]. 

Therefore, yes, Scott Derrickson and Ed Wood were of the same nationality - both were American.",S000004 S000017,yes,yes,no,na,Correct answer; citations support both nationality claims.
HQ0002,strict_citation_rag,claude-sonnet-4-5,anthropic,saved,S000054 S000051 S000053 S000045 S000052 S000050 S000049 S000039,"The document does not provide enough information.

The source context indicates that Shirley Temple portrayed Corliss Archer in the 1945 film ""Kiss and Tell"" [S000054], but there is no information provided about any government position held by Shirley Temple.",S000054,no,partial,no,na,Incorrect refusal; citation supports Shirley Temple/Kiss and Tell setup but missing Chief of Protocol evidence.
HQ0003,strict_citation_rag,claude-sonnet-4-5,anthropic,saved,S000115 S000114 S000086 S000084 S000116 S000077 S000118 S000087,"Based on the provided context, the answer is **Animorphs** [S000114][S000115].

The series is described as ""a science fantasy series of young adult books"" [S000114] and ""is told in first person, with all six main characters taking turns narrating the books through their own perspectives"" [S000115]. It has companion books, including ""The Hork-Bajir Chronicles,"" which narrates ""the story of how the Yeerks enslaved the Hork-Bajir"" and involves alien species like the Andalites and Hork-Bajir [S000086][S000084].",S000084 S000086 S000114 S000115,yes,yes,no,na,Correct answer; citations support Animorphs and companion-book evidence.
HQ0004,strict_citation_rag,claude-sonnet-4-5,anthropic,saved,S000141 S000140 S000134 S000139 S000142 S000137 S000145 S000132,"Based on the source context, the Laleli Mosque and Esma Sultan Mansion are **not** located in the same neighborhood.

The Laleli Mosque is located in Laleli, Fatih, Istanbul [S000140], while the Esma Sultan Mansion is located in Ortaköy neighborhood of Istanbul [S000141].",S000140 S000141,yes,yes,no,na,Correct answer; citations support different neighborhoods.
HQ0005,strict_citation_rag,claude-sonnet-4-5,anthropic,saved,S000196 S000197 S000198 S000193 S000194 S000148 S000195 S000192,"The document does not provide enough information.

The source context mentions that ""Big Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani"" [S000196], but it does not provide any information about what New York city the director is based in.",S000196,no,partial,no,na,Incorrect refusal caused by missing Adriana Trigiani location evidence.
HQ0006,strict_citation_rag,claude-sonnet-4-5,anthropic,saved,S000210 S000211 S000238 S000212 S000213 S000217 S000235 S000232,"2014 S/S is the debut album of South Korean group WINNER [S000210], which was formed by YG Entertainment [S000217].",S000210 S000217,yes,yes,no,na,Correct answer; citations support album and YG Entertainment.
HQ0007,strict_citation_rag,claude-sonnet-4-5,anthropic,saved,S000264 S000561 S000558 S000559 S000560 S000263 S000268 S000279,Eenasul Fateh was known by his stage name Aladin and was a former international management consultant [S000264].,S000264,yes,partial,no,na,Correct answer; citation supports identity and consultant role but omits fuller management-consulting support.
HQ0008,strict_citation_rag,claude-sonnet-4-5,anthropic,saved,S000360 S000350 S000359 S000364 S000362 S000298 S000369 S000358,"The Lewiston Maineiacs played their home games at the Androscoggin Bank Colisée [S000360], which has a capacity of 4,000 (3,677 seated) [S000350].",S000350 S000360,partial,yes,no,na,"Partial answer because it includes both 4,000 capacity and expected 3,677 seated."
HQ0009,strict_citation_rag,claude-sonnet-4-5,anthropic,saved,S000381 S000371 S000373 S000372 S000382 S000374 S000383 S000386,"Based on the birth dates provided in the source context:
- Terry Richardson was born August 14, 1965 [S000381]
- Annie Morton was born October 8, 1970 [S000371]

Terry Richardson is older than Annie Morton.",S000371 S000381,yes,yes,no,na,Correct answer; citations support both birth dates.
HQ0010,strict_citation_rag,claude-sonnet-4-5,anthropic,saved,S000440 S000430 S000431 S000451 S000429 S000441 S000443 S000622,"Yes, both Local H and For Against are from the United States.

Local H is an American rock band from Zion, Illinois [S000430], and For Against is a United States post-punk/dream pop band from Lincoln, Nebraska [S000440].",S000430 S000440,yes,yes,no,na,Correct answer; citations support both bands being from the United States.
HQ0011,strict_citation_rag,claude-sonnet-4-5,anthropic,saved,S000481 S000498 S000499 S000497 S000500 S000463 S000501 S000460,"The fight song is **Kansas Song (We're From Kansas)**.

According to the source context, ""Kansas Song (We're From Kansas) is a fight song of the University of Kansas"" [S000481]. The University of Kansas has ""the main campus in Lawrence"" [S000498] and ""two branch campuses are in the Kansas City metropolitan area: the Edwards Campus in Overland Park, and the university's medical school and hospital in Kansas City"" [S000499].",S000481 S000498 S000499,yes,yes,no,na,Correct answer; citations support University of Kansas and fight song.
HQ0012,strict_citation_rag,claude-sonnet-4-5,anthropic,saved,S000540 S000521 S000523 S000528 S000539 S000524 S000515 S000535,"Based on the source context:

David Weissman is the screenwriter with credits for ""Evolution"" who co-wrote a film starring Nicolas Cage and Téa Leoni. 

According to [S000521], David Weissman's film credits include ""Evolution"" (2001). According to [S000539], ""The Family Man"" is a 2000 film written by David Diamond and David Weissman, and starring Nicolas Cage and Téa Leoni.",S000521 S000539,yes,yes,no,na,"Correct answer; citations support David Weissman, Evolution, and The Family Man."
HQ0013,strict_citation_rag,claude-sonnet-4-5,anthropic,saved,S000546 S000549 S000547 S000551 S000560 S000582 S000564 S000559,"The document does not provide enough information.

While the source mentions that Arnold Schwarzenegger appeared in music videos for Guns N' Roses [S000546], and that a Guns N' Roses song was sent to radio stations in November 1999 as a promo for a soundtrack [S000582], there is no information connecting these facts or identifying what movie the soundtrack was for, nor any confirmation that the movie starred Arnold Schwarzenegger as a former New York Police detective.",S000546 S000582,partial,partial,no,na,Partial: includes the expected year 1999 but refuses to make the final connection.
HQ0014,strict_citation_rag,claude-sonnet-4-5,anthropic,saved,S000604 S000605 S000601 S000599 S000602 S000598 S000600 S000603,"Based on the provided context:

**Random House Tower** is described as a mixed-use tower used as headquarters for Random House and a luxury apartment complex [S000604].

**888 7th Avenue** currently carries the Vornado Realty Trust corporate headquarters [S000601] and is described as an office skyscraper [S000599].

While Random House Tower includes residential apartments (which involves real estate), 888 7th Avenue is described only as office space with corporate headquarters. The document indicates Vornado Realty Trust (a real estate company) has its headquarters there, but does not state that 888 7th Avenue itself is used for real estate purposes beyond being an office building.

The document does not provide enough information to definitively answer whether both buildings are used for real estate in the same way.",S000599 S000601 S000604,no,partial,no,na,Incorrect/overcautious refusal; cited evidence supports the two building descriptions but model does not answer no.
